PERMNO,date,TICKER,PERMCO,PRC,VOL,RET,vwretd,sprtrn
91005,31/08/2011,KBE,39147,19.90000,3261400,0.010665,0.005093,0.004922
91005,01/09/2011,KBE,39147,19.33000,3700500,-0.028643,-0.012131,-0.011871
91005,02/09/2011,KBE,39147,18.44000,2996200,-0.046042,-0.024645,-0.025282
91005,06/09/2011,KBE,39147,18.15000,3238000,-0.015727,-0.008152,-0.007436
91005,07/09/2011,KBE,39147,19.19000,3705000,0.057300,0.029164,0.028646
91005,08/09/2011,KBE,39147,18.70000,2454200,-0.025534,-0.010889,-0.010612
91005,09/09/2011,KBE,39147,18.07000,12481700,-0.033690,-0.026597,-0.026705
91005,12/09/2011,KBE,39147,18.38000,17020000,0.017155,0.004134,0.006966
91005,13/09/2011,KBE,39147,18.59000,5935000,0.011426,0.010803,0.009120
91005,14/09/2011,KBE,39147,18.92000,8949400,0.017751,0.012798,0.013480
91005,15/09/2011,KBE,39147,19.37000,4591800,0.023784,0.015480,0.017187
91005,16/09/2011,KBE,39147,19.21000,5138200,-0.003526,0.003557,0.005707
91005,19/09/2011,KBE,39147,18.67000,3614100,-0.028110,-0.010951,-0.009803
91005,20/09/2011,KBE,39147,18.62000,3992900,-0.002678,-0.004116,-0.001661
91005,21/09/2011,KBE,39147,17.57000,22966600,-0.056391,-0.029444,-0.029390
91005,22/09/2011,KBE,39147,17.09000,7960500,-0.027319,-0.034428,-0.031883
91005,23/09/2011,KBE,39147,17.38000,8030900,0.016969,0.005755,0.006082
91005,26/09/2011,KBE,39147,18.29000,12557800,0.052359,0.021597,0.023336
91005,27/09/2011,KBE,39147,18.29000,8915700,0.000000,0.012849,0.010688
91005,28/09/2011,KBE,39147,17.65000,3118700,-0.034992,-0.023703,-0.020691
91005,29/09/2011,KBE,39147,18.25000,3708900,0.033994,0.008235,0.008114
91005,30/09/2011,KBE,39147,17.54000,10635000,-0.038904,-0.024641,-0.024974
91005,03/10/2011,KBE,39147,16.73000,5444800,-0.046180,-0.031922,-0.028451
91005,04/10/2011,KBE,39147,17.47000,7655600,0.044232,0.023667,0.022488
91005,05/10/2011,KBE,39147,17.67000,6433700,0.011448,0.019662,0.017866
91005,06/10/2011,KBE,39147,18.46000,7357700,0.044708,0.020566,0.018304
91005,07/10/2011,KBE,39147,17.70000,6050100,-0.041170,-0.010947,-0.008163
91005,10/10/2011,KBE,39147,18.61000,4072300,0.051412,0.034277,0.034125
91005,11/10/2011,KBE,39147,18.75000,4139100,0.007523,0.001058,0.000544
91005,12/10/2011,KBE,39147,19.34000,10105800,0.031467,0.011820,0.009795
91005,13/10/2011,KBE,39147,18.78000,15539200,-0.028956,-0.002954,-0.002974
91005,14/10/2011,KBE,39147,18.91000,17398500,0.006922,0.017735,0.017380
91005,17/10/2011,KBE,39147,18.17000,11584000,-0.039133,-0.020861,-0.019370
91005,18/10/2011,KBE,39147,19.25000,19313600,0.059439,0.020792,0.020419
91005,19/10/2011,KBE,39147,18.70000,12360000,-0.028571,-0.014171,-0.012649
91005,20/10/2011,KBE,39147,19.03000,10669400,0.017647,0.003898,0.004554
91005,21/10/2011,KBE,39147,19.36000,13657400,0.017341,0.019264,0.018809
91005,24/10/2011,KBE,39147,19.79000,4554700,0.022211,0.016798,0.012873
91005,25/10/2011,KBE,39147,19.13000,5450100,-0.033350,-0.019838,-0.020045
91005,26/10/2011,KBE,39147,19.50000,5065400,0.019341,0.011520,0.010537
91005,27/10/2011,KBE,39147,20.49000,6396600,0.050769,0.036253,0.034291
91005,28/10/2011,KBE,39147,20.40000,4677800,-0.004392,0.000259,0.000389
91005,31/10/2011,KBE,39147,19.76000,3958000,-0.031373,-0.024655,-0.024738
91005,01/11/2011,KBE,39147,18.78000,7702300,-0.049595,-0.028627,-0.027942
91005,02/11/2011,KBE,39147,19.41000,4078600,0.033546,0.017082,0.016105
91005,03/11/2011,KBE,39147,19.84000,4249800,0.022154,0.019202,0.018782
91005,04/11/2011,KBE,39147,19.57000,6979700,-0.013609,-0.005570,-0.006280
91005,07/11/2011,KBE,39147,19.78000,2611600,0.010731,0.004900,0.006296
91005,08/11/2011,KBE,39147,20.25000,3857200,0.023761,0.011216,0.011736
91005,09/11/2011,KBE,39147,19.07000,4755600,-0.058272,-0.037861,-0.036695
91005,10/11/2011,KBE,39147,19.26000,4205700,0.009963,0.007432,0.008616
91005,11/11/2011,KBE,39147,19.69000,3674900,0.022326,0.019762,0.019489
91005,14/11/2011,KBE,39147,19.18000,1778900,-0.025901,-0.009371,-0.009550
91005,15/11/2011,KBE,39147,19.28000,3614800,0.005214,0.004531,0.004817
91005,16/11/2011,KBE,39147,19.05000,4401200,-0.011930,-0.015099,-0.016616
91005,17/11/2011,KBE,39147,18.78000,4031600,-0.014173,-0.017213,-0.016800
91005,18/11/2011,KBE,39147,18.86000,2695200,0.004260,-0.000287,-0.000395
91005,21/11/2011,KBE,39147,18.32000,4977000,-0.028632,-0.018665,-0.018648
91005,22/11/2011,KBE,39147,18.13000,3844400,-0.010371,-0.003943,-0.004141
91005,23/11/2011,KBE,39147,17.56000,4341300,-0.031440,-0.023246,-0.022095
91005,25/11/2011,KBE,39147,17.63000,2137900,0.003986,-0.003625,-0.002686
91005,28/11/2011,KBE,39147,18.09000,3611100,0.026092,0.030531,0.029240
91005,29/11/2011,KBE,39147,18.02000,2682800,-0.003870,0.002261,0.002214
91005,30/11/2011,KBE,39147,19.21000,3716500,0.066038,0.043900,0.043315
91005,01/12/2011,KBE,39147,19.06000,2513600,-0.007808,-0.002276,-0.001909
91005,02/12/2011,KBE,39147,19.31000,2428600,0.013116,0.000109,-0.000241
91005,05/12/2011,KBE,39147,19.71000,2917500,0.020715,0.010297,0.010287
91005,06/12/2011,KBE,39147,19.52000,2000300,-0.009640,0.000382,0.001106
91005,07/12/2011,KBE,39147,19.69000,2241000,0.008709,0.001915,0.002018
91005,08/12/2011,KBE,39147,19.01000,2860800,-0.034535,-0.022874,-0.021142
91005,09/12/2011,KBE,39147,19.48000,1815100,0.024724,0.017744,0.016883
91005,12/12/2011,KBE,39147,19.14000,2655800,-0.017454,-0.015558,-0.014914
91005,13/12/2011,KBE,39147,18.82000,3552600,-0.016719,-0.011256,-0.008686
91005,14/12/2011,KBE,39147,18.73000,3093400,-0.004782,-0.012735,-0.011348
91005,15/12/2011,KBE,39147,18.87000,3229300,0.007475,0.003744,0.003243
91005,16/12/2011,KBE,39147,18.88000,2654300,0.008484,0.004972,0.003216
91005,19/12/2011,KBE,39147,18.43000,3045500,-0.023835,-0.012675,-0.011733
91005,20/12/2011,KBE,39147,19.16000,3380800,0.039609,0.030035,0.029825
91005,21/12/2011,KBE,39147,19.40000,2394100,0.012526,0.002025,0.001950
91005,22/12/2011,KBE,39147,19.94000,8692400,0.027835,0.008913,0.008266
91005,23/12/2011,KBE,39147,19.97000,1386600,0.001504,0.007865,0.009035
91005,27/12/2011,KBE,39147,19.95000,1148100,-0.001001,0.000015,0.000079
91005,28/12/2011,KBE,39147,19.66000,3122300,-0.014536,-0.013647,-0.012478
91005,29/12/2011,KBE,39147,19.96000,1848800,0.015259,0.010781,0.010707
91005,30/12/2011,KBE,39147,19.83000,2291300,-0.006513,-0.002577,-0.004291
91005,03/01/2012,KBE,39147,20.29000,3133700,0.023197,0.016171,0.015474
91005,04/01/2012,KBE,39147,20.41000,3183900,0.005914,-0.000454,0.000188
91005,05/01/2012,KBE,39147,20.80000,4365700,0.019108,0.002932,0.002944
91005,06/01/2012,KBE,39147,20.79000,3418200,-0.000481,-0.002902,-0.002537
91005,09/01/2012,KBE,39147,21.12000,7703000,0.015873,0.002816,0.002262
91005,10/01/2012,KBE,39147,21.39000,5587400,0.012784,0.010417,0.008886
91005,11/01/2012,KBE,39147,21.56000,2954900,0.007948,0.000946,0.000310
91005,12/01/2012,KBE,39147,21.61000,3611800,0.002319,0.003058,0.002337
91005,13/01/2012,KBE,39147,21.56000,3492500,-0.002314,-0.005319,-0.004948
91005,17/01/2012,KBE,39147,21.37000,4152400,-0.008813,0.003902,0.003553
91005,18/01/2012,KBE,39147,21.54000,2871700,0.007955,0.012304,0.011108
91005,19/01/2012,KBE,39147,21.50000,3421300,-0.001857,0.005595,0.004939
91005,20/01/2012,KBE,39147,21.72000,2337100,0.010233,0.000882,0.000669
91005,23/01/2012,KBE,39147,21.73000,2749800,0.000460,0.001609,0.000471
91005,24/01/2012,KBE,39147,21.59000,3068400,-0.006443,-0.000800,-0.001026
91005,25/01/2012,KBE,39147,21.71000,3887800,0.005558,0.009947,0.008672
91005,26/01/2012,KBE,39147,21.19000,6606800,-0.023952,-0.004903,-0.005746
91005,27/01/2012,KBE,39147,21.27000,4296900,0.003775,0.000702,-0.001593
91005,30/01/2012,KBE,39147,21.11000,3520300,-0.007522,-0.003738,-0.002522
91005,31/01/2012,KBE,39147,21.11000,5763800,0.000000,-0.000083,-0.000457
91005,01/02/2012,KBE,39147,21.42000,4739400,0.014685,0.011210,0.008900
91005,02/02/2012,KBE,39147,21.51000,3690100,0.004202,0.001833,0.001095
91005,03/02/2012,KBE,39147,22.17000,2928300,0.030683,0.014682,0.014605
91005,06/02/2012,KBE,39147,22.01000,2282900,-0.007217,-0.000988,-0.000424
91005,07/02/2012,KBE,39147,22.05000,2853600,0.001817,0.001394,0.002023
91005,08/02/2012,KBE,39147,22.22000,2277800,0.007710,0.002186,0.002160
91005,09/02/2012,KBE,39147,22.18000,5093200,-0.001800,0.001001,0.001474
